ticker,AAPL,ABBV
name,Apple Inc.,AbbVie Inc.
2018/03/16,41.8217,80.6995
2018/03/19,41.1827,79.5072
2018/03/20,41.1686,79.9472
2018/03/21,40.2359,79.8052
2018/03/22,39.6674,69.6211
2018/03/23,38.7488,69.1669
2018/03/26,40.5883,67.6198
2018/03/27,39.5476,65.2991
2018/03/28,39.1106,66.9030
2018/03/29,39.4160,67.1726
2018/04/02,39.1576,64.9088
2018/04/03,39.5593,64.2913
2018/04/04,40.3158,65.9591
2018/04/05,40.5954,65.4410
2018/04/06,39.5570,63.7164
2018/04/09,39.9493,64.2132
2018/04/10,40.7011,66.4417
2018/04/11,40.5108,66.4559
2018/04/12,40.9102,66.0543
2018/04/13,41.0488,65.8464
2018/04/16,41.3048,66.3985
2018/04/17,41.8734,67.1084
2018/04/18,41.7794,67.6318
2018/04/19,40.5954,66.6925
2018/04/20,38.9321,66.3985
2018/04/23,38.8193,66.8072
2018/04/24,38.2790,65.5094
2018/04/25,38.4458,65.8751
2018/04/26,38.5797,69.8690
2018/04/27,38.1333,70.7940
2018/04/30,38.8240,69.2308
2018/05/01,39.7261,73.1889
2018/05/02,41.4810,71.9699
2018/05/03,41.5562,71.9054
2018/05/04,43.1866,71.8265
2018/05/07,43.4991,71.4394
2018/05/08,43.7081,71.2744
2018/05/09,44.0159,72.5508
2018/05/10,44.6455,73.7483
2018/05/11,44.4757,74.7019
2018/05/14,44.3719,75.9281
2018/05/15,43.9687,74.7019
2018/05/16,44.3790,75.3186
2018/05/17,44.0984,75.5193
2018/05/18,43.9380,75.9926
2018/05/21,44.2493,76.1719
2018/05/22,44.1385,76.1719
2018/05/23,44.4215,75.7201
2018/05/24,44.3719,73.9562
2018/05/25,44.4733,72.4790
2018/05/29,44.3130,71.3246
2018/05/30,44.2186,73.8630
2018/05/31,44.0701,70.9446
2018/06/01,44.8648,70.3064
2018/06/04,45.2398,71.0593
2018/06/05,45.5888,71.1597
2018/06/06,45.7468,71.6903
2018/06/07,45.6242,71.2171
2018/06/08,45.2091,72.0130
2018/06/11,45.0983,71.5397
2018/06/12,45.3459,70.9231
2018/06/13,44.9733,69.9694
2018/06/14,44.9969,70.8083
2018/06/15,44.5347,71.3963
2018/06/18,44.5111,70.6147
2018/06/19,43.7918,70.2777
2018/06/20,43.9828,70.4498
2018/06/21,43.7375,68.5138
2018/06/22,43.6102,67.0367
2018/06/25,42.9617,66.7212
2018/06/26,43.4946,66.0543
2018/06/27,43.4310,65.6169
2018/06/28,43.7470,66.2766
2018/06/29,43.6550,66.4344
2018/07/02,44.1432,66.7642
2018/07/03,43.3744,67.1227
2018/07/05,43.7234,67.7466
2018/07/06,44.3295,69.4961
2018/07/09,44.9450,69.5822
2018/07/10,44.8908,70.8729
2018/07/11,44.3083,68.0907
2018/07/12,45.0511,69.2570
2018/07/13,45.1219,69.9958
2018/07/16,45.0228,69.7206
2018/07/17,45.1502,69.1121
2018/07/18,44.9026,68.3805
2018/07/19,45.2516,65.1571
2018/07/20,45.1478,64.4037
2018/07/23,45.1879,64.7586
2018/07/24,45.5157,66.3088
2018/07/25,45.9449,67.4533
2018/07/26,45.8011,68.0473
2018/07/27,45.0393,65.5989
2018/07/30,44.7870,66.2436
2018/07/31,44.8766,66.8086
2018/08/01,47.5203,68.0256
2018/08/02,48.9094,68.9020
2018/08/03,49.0509,69.9234
2018/08/06,49.3056,70.3073
2018/08/07,48.8433,68.1342
2018/08/08,48.8763,67.8951
2018/08/09,49.2607,69.1556
2018/08/10,49.1140,69.3946
2018/08/13,49.4311,70.1045
2018/08/14,49.6394,69.4815
2018/08/15,49.7554,70.5898
2018/08/16,50.4843,71.1476
2018/08/17,51.4925,71.5749
2018/08/20,50.9907,70.7202
2018/08/21,50.8913,70.7999
2018/08/22,50.8937,70.7274
2018/08/23,50.9978,70.3725
2018/08/24,51.1564,70.5536
2018/08/27,51.5777,71.0027
2018/08/28,51.9942,70.4522
2018/08/29,52.7704,70.6840
2018/08/30,53.2556,70.1117
2018/08/31,53.8709,69.5250
2018/09/04,54.0436,68.4964
2018/09/05,53.6910,68.9528
2018/09/06,52.7988,67.9024
2018/09/07,52.3728,68.2139
2018/09/10,51.6700,67.9603
2018/09/11,52.9763,67.4967
2018/09/12,52.3184,67.5402
2018/09/13,53.5822,69.7785
